Adresse;x;y;Arrondissement
139 RUE DE BERCY/MINIST.ECONOMIE FINANCES;48.841025; 2.377966;75012
139 RUE PELLEPORT;48.873045; 2.39779;75020
14 BOULEVARD HAUSSMANN;48.872542; 2.337208;75009
14 CITE DUPETIT THOUARS;48.86625; 2.362594;75003
14 PASSAGE DE L'INDUSTRIE;48.871231; 2.354623;75010
14 PLACE DAUPHINE;48.85677; 2.342619;75001
14 QUAI DE SEINE/CINEMA MK2;48.885073; 2.371493;75019
14 RUE BOIS LE VENT;48.857662; 2.276467;75016
14 RUE BONAPARTE;48.856574; 2.334551;75006
14 RUE DE LA CROIX NIVERT;48.847111; 2.300243;75015
14 RUE DE TREVISE;48.87347; 2.34529;75009
14 RUE DE TREVISE/THEATRE DE TREVISE;48.87347; 2.34529;75009
14 RUE DU BOIS LE VENT;48.857662; 2.276467;75016
14 RUE DU TEMPLE (BHV);48.858275; 2.353421;75004
14 RUE DU VERBOIS;48.866791; 2.359269;75003
14 RUE DU VERTBOIS;48.866791; 2.359269;75003
14 RUE DUQUESNE (MINISTERE DE LA SANTE);48.852121; 2.309094;75007
14 RUE FRANCOIS COPPEE/ECOLE F.COPPEE;48.839869; 2.287832;75015
14 RUE JEAN MACE;48.853253; 2.383415;75011
14 RUE LINCOLN;48.870512; 2.303157;75008
14 RUE NUNGESSER ET COLI;48.844856; 2.252466;75016
14 RUE VULPIAN;48.831862; 2.346426;75013
14/43 RUE DULONG;48.885227; 2.316246;75017
14/50 RUE DES RONDEAUX;48.863104; 2.397806;75020
140 RUE DU FAUBOURG SAINT HONORE;48.872714; 2.311454;75008
141 BOULEVARD MORTIER;48.873996; 2.408085;75020
142 RUE DE CHARONNE;48.854905; 2.388846;75011
143 AVENUE VICTOR HUGO;48.867212; 2.279854;75016
143 RUE SAINT HONORE/TABAC BRASSERIE L'ORATOIRE;48.861797; 2.340608;75001
144 RUE MOUFFETARD;48.839247; 2.349878;75005
146 RUE DU FAUBOURG POISSONNIERE;48.87758; 2.349026;75009
147 BOULEVARD SAINT GERMAIN;48.853529; 2.333781;75006
148 AVENUE GAMBETTA;48.875389; 2.406186;75020
149 RUE SAINT HONORE;48.862012; 2.339698;75001
15 AVENUE DU RECTEUR POINCARE;48.853169; 2.27133;75016
15 AVENUE FELIX D'HERELLE;48.834759; 2.257044;75016
15 AVENUE FELIX D'HERELLE/TENNIS CLUB DE PARIS;48.834759; 2.257044;75016
15 AVENUE HOCHE;48.876948; 2.303128;75008
15 AVENUE MONTAIGNE/LE MANKO;48.865596; 2.30344;75008
15 BOULEVARD DAVOUT;48.848415; 2.411032;75020
15 BOULEVARD RASPAIL;48.854434; 2.326215;75007
15 PLACE DAUPHINE/4 BD DU PALAIS/REST.LE PAUL;48.856357; 2.342421;75001
15 QUAI DES GRANDS AUGUSTINS;48.853979; 2.343524;75006
15 RUE DES FETES;48.876379; 2.392113;75019
15 RUE DUPLEIX;48.851663; 2.297824;75015
15 RUE HENRI RIBIERE;48.877158; 2.395414;75019
15 RUE JACQUES BINGEN;48.883276; 2.312058;75017
15 RUE MICHEL ANGE;48.846784; 2.263329;75016
15 RUE POLIVEAU;48.840246; 2.360048;75005
15 RUE PRINCESSE;48.852046; 2.334578;75006
15 RUE RENE BOULANGER;48.869212; 2.357321;75010
15 RUE SAINT BLAISE/CAFE LUMIERE;48.859632; 2.405032;75020
15 RUE SAINT SABIN;48.855463; 2.371776;75011
15 RUE VIVIENNE;48.868308; 2.339688;75002
15/17 RUE MALEBRANCHE;48.84649; 2.341902;75005
150 AVENUE DE FLANDRES;48.89396; 2.381427;75019
151 BOULEVARD DE L'HOPITAL;48.833663; 2.357506;75013
152 BOULEVARD MALESHERBES;48.886054; 2.306478;75017
155 RUE MONTMARTRE/LE CAFE OSCAR;48.870642; 2.342614;75002
156 RUE LAMARCK;48.891254; 2.328608;75018
157 BOULEVARD MALESHERBES;48.885559; 2.306521;75017
159 AVENUE JEAN JAURES;48.887216; 2.386497;75019
16 AVENUE FOCH;48.873924; 2.290801;75016
16 AVENUE VICTOR HUGO;48.872476; 2.291848;75016
16 BOULEVARD HAUSSMANN;48.872619; 2.336653;75009
16 PLACE DE CLICHY;48.883434; 2.328017;75009
16 PLACE DENFERT ROCHEREAU;48.834046; 2.330544;75014
16 PLACE JULES SEMARD;48.86609; 2.407686;75020
16 RUE ALFRED DE VIGNY;48.879373; 2.305186;75008
16 RUE CAPRON;48.885522; 2.328483;75018
16 RUE CHORON;48.877669; 2.340611;75009
16 RUE CLAUDE BERNARD;48.839317; 2.348786;75005
16 RUE D'ASSAS;48.849162; 2.328495;75006
16 RUE DE CLICHY;48.878388; 2.330062;75009
16 RUE DE LA FAISANDERIE;48.87016; 2.276762;75016
16 RUE DE LA FAISANDERIE (MUSEE CONTREFACON);48.87016; 2.276762;75016
16 RUE DE LA FAISANDERIE (UNIFAB);48.87016; 2.276762;75016
16 RUE DE LA FORGE ROYALE;48.85143; 2.380553;75011
16 RUE DEMARQUAY;48.881155; 2.358818;75010
16 RUE DES FOSSES SAINT JACQUES;48.845513; 2.344222;75005
16 RUE DES MARTYRS;48.877569; 2.339541;75009
16/18 RUE VULPIAN;48.831597; 2.346303;75013
16/24 RUE DE BELLEVILLE;48.875537; 2.391546;75019
160 RUE OBERKAMPF;48.866839; 2.382393;75011
163 QUAI DE VALMY;48.878784; 2.366268;75010
164 RUE DU FAUBOURG SAINT HONORE;48.873592; 2.309062;75008
166 AVENUE DE SUFFREN;48.846307; 2.308241;75015
166 QUAI DES GRANDS AUGUSTINS;48.854737; 2.342109;75006
168 AVENUE D'ITALIE;48.821194; 2.358528;75013
169 RUE DE GRENELLE;48.857385; 2.305231;75007
17 AU 35 QUAI VOLTAIRE;48.859434; 2.329428;75007
17 AVENUE FRANKLIN ROOSEVELT/RESTAURANT LASSERRE;48.866313; 2.309996;75008
17 BOULEVARD SAINT MARCEL;48.839043; 2.359614;75013
17 PLACE DAUPHINE (LE BAR DU CAVEAU);48.856454; 2.342146;75001
17 PLACE DU TROCADERO;48.862548; 2.28222;75016
17 QUAI D'ANJOU/HOTEL DE LAUZUN;48.854811; 2.354243;75004
17 RUE DE LA SORBONNE;48.848896; 2.343134;75005
17 RUE DE LA VILLETTE;48.875613; 2.387337;75019
17 RUE DE MONTYON;48.873056; 2.343466;75009
17 RUE DES HALLES;48.8603; 2.34607;75001
17 RUE DES PYRAMIDES;48.865458; 2.333196;75001
17 RUE FRANKLIN ROOSEVEL/RESTAURANT LASSERRE;48.866313; 2.309996;75008
17 RUE PIERRE LESCOT;48.863176; 2.348725;75001
17 RUE RENE BOULANGER;48.869214; 2.356915;75010
17 RUE SAINT BERNARD;48.851677; 2.381567;75011
17 RUE THEOPHILE GAUTHIER;48.850398; 2.273664;75016
17/19 AVENUE MONTAIGNE;48.865881; 2.30379;75008
170 RUE DU FAUBOURG SAINT HONORE;48.873808; 2.308623;75008
173 RUE DU FAUBOURG POISSONNIERE;48.876626; 2.348752;75010
174 RUE DE CRIMEE;48.890145; 2.377496;75019
176/178 RUE SAINT MARTIN;48.862563; 2.352235;75003
177 BOULEVARD SAINT GERMAIN;48.852798; 2.336771;75006
18 AVENUE DE SUFFREN;48.855865; 2.293285;75015
18 BOULEVARD AUGUSTE BLANQUI;48.830773; 2.352424;75013
18 BOULEVARD SAINT MARTIN;48.868938; 2.356718;75010
18 RUE AMPERE;48.885318; 2.304933;75017
18 RUE ANTOINE BOURDELLE;48.842951; 2.318583;75015
18 RUE CAIL;48.882821; 2.360227;75010
18 RUE D'ARCUEIL;48.820224; 2.34277;75014
18 RUE DE L'HOTEL DE VILLE;48.853917; 2.357191;75004
18 RUE DE LA CONDAMINE;48.887474; 2.32368;75017
18 RUE DE MARIGNAN;48.869097; 2.306589;75008
18 RUE DE PALESTINE;48.876729; 2.38966;75019
18 RUE DU FAUBOURG DU TEMPLE;48.868311; 2.366089;75011
18 RUE DUNKERQUE;48.880374; 2.35354;75010
